SemonyZ (sayfa mevcut deðil)|3 gün|7 deðiþikliðe sahip|-4|?
Nanahuatl|toplu ileti gönderici|devriye|11 yýl|433,428 deðiþikliðe sahip|-324|False
EmausBot|bot|10 yýl 3 ay|317,523 deðiþikliðe sahip|15|False
Thijs!bot|bot|13 yýl 10 ay|78,257 deðiþikliðe sahip|25|False
TXiKiBoT|bot|13 yýl 4 ay|222,021 deðiþikliðe sahip|33|False
Luckas-bot|bot|11 yýl 11 ay|216,721 deðiþikliðe sahip|23|False
EmausBot|bot|10 yýl 3 ay|317,523 deðiþikliðe sahip|-2|False
Xqbot|bot|11 yýl 4 ay|181,006 deðiþikliðe sahip|23|False
Kmoksy|devriye|10 yýl 3 ay|48,025 deðiþikliðe sahip|-59|False
Kmoksy|devriye|10 yýl 3 ay|48,025 deðiþikliðe sahip|-4|False
Ptbotgourou|bot|11 yýl 10 ay|16,425 deðiþikliðe sahip|-8|False
ArthurBot|bot|11 yýl 6 ay|94,885 deðiþikliðe sahip|15|False
MelancholieBot|bot|12 yýl|31,302 deðiþikliðe sahip|44|False
Kudelski|devriye|11 yýl 10 ay|53,986 deðiþikliðe sahip|0|False
Kudelski|devriye|11 yýl 10 ay|53,986 deðiþikliðe sahip|-6|False
Nanahuatl|toplu ileti gönderici|devriye|11 yýl|433,428 deðiþikliðe sahip|36|False
Superyetkin|bürokrat|hizmetli|11 yýl 10 ay|163,638 deðiþikliðe sahip|-2|False
Katkýlar/190.28.141.231|0|False
Xqbot|bot|11 yýl 4 ay|181,006 deðiþikliðe sahip|41|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|0|False
Alexbot|bot|12 yýl 4 ay|38,603 deðiþikliðe sahip|23|False
Xqbot|bot|11 yýl 4 ay|181,006 deðiþikliðe sahip|22|False
Muro Bot|bot|11 yýl 11 ay|3,691 deðiþikliðe sahip|26|False
Bambi'nin annesi|devriye|12 yýl 9 ay|30,153 deðiþikliðe sahip|-96|False
Katkýlar/78.188.4.146|-2|False
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|257|False
Katkýlar/78.174.72.222|-257|True
Katkýlar/94.121.227.215|-40|False
Katkýlar/94.121.227.215|2|False
Katkýlar/144.122.4.235|40|True
